trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
162,False,"{'a': 0.4, 'e': 0.6894984329517468}",20,0,-119.96204148738886,"{0: 10, 1: 3, 2: 5, 3: 1, 4: 1}",0
163,False,"{'a': 0.4, 'e': 0.6858683934567372}",20,0,-81.0387229401516,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
164,False,"{'a': 0.4, 'e': 0.6822212072876134}",25,1,-111.26237218059204,"{0: 17, 1: 1, 2: 3, 3: 1, 4: 2}",1
165,False,"{'a': 0.4, 'e': 0.6785569656238397}",30,3,12.745469846522784,"{0: 23, 1: 4, 2: 0, 3: 0, 4: 0}",1
166,False,"{'a': 0.4, 'e': 0.6748757600712669}",25,0,-63.241680785859366,"{0: 19, 1: 2, 2: 2, 3: 1, 4: 1}",0
167,False,"{'a': 0.4, 'e': 0.6711776826598421}",25,2,-60.34509250855317,"{0: 17, 1: 2, 2: 3, 3: 0, 4: 1}",1
168,False,"{'a': 0.4, 'e': 0.667462825841308}",20,7,-41.67728909099807,"{0: 8, 1: 1, 2: 3, 3: 1, 4: 0}",1
169,False,"{'a': 0.4, 'e': 0.6637312824868914}",25,0,-81.47163964618412,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
170,False,"{'a': 0.4, 'e': 0.6599831458849821}",30,0,-260.7522645239058,"{0: 14, 1: 4, 2: 6, 3: 2, 4: 4}",0
171,False,"{'a': 0.4, 'e': 0.6562185097387996}",20,0,-92.52131407425973,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
172,False,"{'a': 0.4, 'e': 0.6524374681640517}",30,0,-42.14537458982899,"{0: 22, 1: 2, 2: 6, 3: 0, 4: 0}",0
173,False,"{'a': 0.4, 'e': 0.6486401156865808}",25,16,12.547049539620874,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
174,False,"{'a': 0.4, 'e': 0.644826547240001}",30,0,-102.96736959913513,"{0: 21, 1: 2, 2: 4, 3: 2, 4: 1}",0
175,False,"{'a': 0.4, 'e': 0.640996858163325}",25,0,-68.21275333953857,"{0: 17, 1: 4, 2: 3, 3: 0, 4: 1}",0
176,False,"{'a': 0.4, 'e': 0.6371511441985801}",20,0,-76.5420617891629,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
177,False,"{'a': 0.4, 'e': 0.6332895014884151}",20,0,-114.77374263375822,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 3}",0
178,False,"{'a': 0.4, 'e': 0.6294120265736968}",20,16,7.068039734802229,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
179,False,"{'a': 0.4, 'e': 0.625518816391096}",20,0,-94.11462034255891,"{0: 16, 1: 0, 2: 1, 3: 1, 4: 2}",0
180,False,"{'a': 0.4, 'e': 0.6216099682706644}",20,0,-30.230657795624786,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
181,False,"{'a': 0.4, 'e': 0.6176855799334016}",30,13,-26.861607913310223,"{0: 13, 1: 0, 2: 3, 3: 1, 4: 0}",1
182,False,"{'a': 0.4, 'e': 0.6137457494888114}",35,8,-23.447898340632875,"{0: 22, 1: 1, 2: 3, 3: 1, 4: 0}",1
183,False,"{'a': 0.4, 'e': 0.6097905754324501}",25,15,2.5296269827342295,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
184,False,"{'a': 0.4, 'e': 0.6058201566434627}",25,0,-177.6804157397041,"{0: 17, 1: 1, 2: 3, 3: 0, 4: 4}",0
185,False,"{'a': 0.4, 'e': 0.6018345923821125}",20,2,-80.43765297160672,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 2}",1
186,False,"{'a': 0.4, 'e': 0.5978339822872981}",25,0,-44.86862939767913,"{0: 21, 1: 1, 2: 1, 3: 1, 4: 1}",0
187,False,"{'a': 0.4, 'e': 0.5938184263740638}",25,18,-20.49984874551263,"{0: 5, 1: 0, 2: 1, 3: 1, 4: 0}",1
188,False,"{'a': 0.4, 'e': 0.5897880250310981}",20,0,-64.9703569034003,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
189,False,"{'a': 0.4, 'e': 0.5857428790182247}",30,4,-51.962901150472085,"{0: 17, 1: 3, 2: 6, 3: 0, 4: 0}",1
190,False,"{'a': 0.4, 'e': 0.5816830894638834}",20,7,-10.6876706306867,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 0}",1
191,False,"{'a': 0.4, 'e': 0.5776087578626014}",20,0,-121.53542008468654,"{0: 11, 1: 4, 2: 3, 3: 0, 4: 2}",0
192,False,"{'a': 0.4, 'e': 0.5735199860724565}",20,8,-40.39514399985143,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 1}",1
193,False,"{'a': 0.4, 'e': 0.5694168763125307}",20,0,-22.709900738915945,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
194,False,"{'a': 0.4, 'e': 0.5652995311603541}",20,11,-30.869184223580554,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 1}",1
195,False,"{'a': 0.4, 'e': 0.5611680535493413}",25,0,-34.649527348536175,"{0: 18, 1: 2, 2: 5, 3: 0, 4: 0}",0
196,False,"{'a': 0.4, 'e': 0.5570225467662171}",25,14,-48.48695415716009,"{0: 6, 1: 0, 2: 4, 3: 1, 4: 0}",1
197,False,"{'a': 0.4, 'e': 0.5528631144484354}",25,10,26.209245521248675,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
198,False,"{'a': 0.4, 'e': 0.5486898605815874}",20,11,-27.965128606726083,"{0: 7, 1: 0, 2: 0, 3: 2, 4: 0}",1
199,False,"{'a': 0.4, 'e': 0.5445028894968024}",20,3,16.125302929137177,"{0: 15, 1: 2, 2: 0, 3: 0, 4: 0}",1
200,False,"{'a': 0.4, 'e': 0.5403023058681395}",20,10,-5.424205383411149,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
201,False,"{'a': 0.4, 'e': 0.5360882147099707}",30,0,-35.69315100175187,"{0: 23, 1: 2, 2: 4, 3: 1, 4: 0}",0
202,False,"{'a': 0.4, 'e': 0.5318607213743552}",25,17,15.03433211385093,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
203,False,"{'a': 0.4, 'e': 0.5276199315484067}",30,11,6.031820611989252,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 0}",1
204,False,"{'a': 0.4, 'e': 0.5233659512516493}",20,0,-7.084477514954392,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
205,False,"{'a': 0.4, 'e': 0.5190988868333696}",20,0,-84.43272986526166,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
206,False,"{'a': 0.4, 'e': 0.5148188449699551}",25,11,-32.819756072247756,"{0: 10, 1: 0, 2: 3, 3: 1, 4: 0}",1
207,False,"{'a': 0.4, 'e': 0.5105259326622301}",20,15,-2.3126805105467394,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
208,False,"{'a': 0.4, 'e': 0.5062202572327782}",20,0,-50.01002055885939,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
209,False,"{'a': 0.4, 'e': 0.5019019263232612}",25,0,-40.27200693060902,"{0: 20, 1: 3, 2: 1, 3: 0, 4: 1}",0
210,False,"{'a': 0.4, 'e': 0.49757104789172674}",20,0,9.898548834404735,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
211,False,"{'a': 0.4, 'e': 0.4932277302099103}",20,0,-48.40001326188606,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",1
212,False,"{'a': 0.4, 'e': 0.48887208186052733}",20,10,-7.884280097402326,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
213,False,"{'a': 0.4, 'e': 0.4845042117345601}",30,18,-14.463914314130232,"{0: 8, 1: 2, 2: 2, 3: 0, 4: 0}",1
214,False,"{'a': 0.4, 'e': 0.48012422902853386}",25,11,-1.8170261167815653,"{0: 10, 1: 4, 2: 0, 3: 0, 4: 0}",1
215,False,"{'a': 0.4, 'e': 0.4757322432417886}",25,0,-76.21075192399765,"{0: 19, 1: 2, 2: 1, 3: 2, 4: 1}",0
216,False,"{'a': 0.4, 'e': 0.47132836417373974}",30,0,10.111904513629888,"{0: 27, 1: 2, 2: 0, 3: 1, 4: 0}",0
217,False,"{'a': 0.4, 'e': 0.4669127019211351}",30,14,-12.513175187733689,"{0: 13, 1: 0, 2: 3, 3: 0, 4: 0}",1
218,False,"{'a': 0.4, 'e': 0.4624853668753006}",20,0,0.6766402789574812,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",1
219,False,"{'a': 0.4, 'e': 0.4580464697193822}",25,14,-1.5051559351827737,"{0: 8, 1: 3, 2: 0, 3: 0, 4: 0}",1
220,False,"{'a': 0.4, 'e': 0.4535961214255771}",20,0,-7.472085425888332,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
221,False,"{'a': 0.4, 'e': 0.4491344332523614}",20,9,-10.327172824749091,"{0: 8, 1: 1, 2: 2, 3: 0, 4: 0}",1
222,False,"{'a': 0.4, 'e': 0.44466151674170656}",20,0,-29.15331997252027,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
223,False,"{'a': 0.4, 'e': 0.44017748371629284}",30,19,7.418111020830709,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
