state1,state2,state3,state4,action,reward
green, forward, forward, right,left,-12.40
red, forward, left, forward,forward,-37.96
red, forward, left, forward,right,-18.99
red, forward, left, forward,None,1.99
red, forward, left, forward,left,-39.28
red, right, left, forward,forward,-8.36
red, right, left, forward,right,1.18
red, right, left, forward,None,1.37
red, right, left, forward,left,-10.54
red, right, left, right,forward,0.00
red, right, left, right,right,1.32
red, right, left, right,None,0.78
red, right, left, right,left,0.00
red, right, forward, right,forward,-17.88
red, right, forward, right,right,2.06
red, right, forward, right,None,0.61
red, right, forward, right,left,0.00
red, right, left, left,forward,-13.17
red, right, left, left,right,-0.13
red, right, left, left,None,1.58
red, right, left, left,left,-6.82
red, left, forward, left,forward,-20.49
red, left, forward, left,right,1.18
red, left, forward, left,None,1.53
red, left, forward, left,left,-8.15
green, right, left, left,forward,0.87
green, right, left, left,right,0.58
green, right, left, left,None,-3.27
green, right, left, left,left,2.08
red, left, left, right,forward,-16.07
red, left, left, right,right,1.85
red, left, left, right,None,0.27
red, left, left, right,left,-26.57
red, forward, forward, left,forward,-25.10
red, forward, forward, left,right,-8.13
red, forward, forward, left,None,1.22
red, forward, forward, left,left,-31.51
